,,,,,,,,,,,,Concentrations,,,,,,,,,,,,,,Flow and Method,,,,,Load,,,,,,,,,,,,,,,,
8/10/2011,2011,4,2,MT,OUT,NT2-04-OT,FALSE,AC,FALSE,NA,FALSE,0.462,1.543,0.078,NA,8.423,NA,NA,0.51,NA,NA,NA,NA,NA,1435.74,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: NT2 T1 I4, NT2 T2 I4, NT2 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
8/10/2011,2011,4,2,ST,OUT,ST2-04-OT,FALSE,AC,FALSE,NA,FALSE,0.422,1.643,0.466,NA,7.987,NA,NA,3.167,NA,NA,NA,NA,NA,415.6,31332.23,GBW,Transducer,Siphon,Weir,13232.645,51489.298,14600.819,#VALUE!,250240.077,#VALUE!,#VALUE!,99218.728,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,13021674.79,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319","OG Sample IDs: ST2 T1 I4, ST2 T2 I4, ST2 T3 I4. The sample ID has been modifed to fit with the ""modern"" IDs. The values represent the average between the three.  "
8/18/2011,2011,5,1,CT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117423.21,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/18/2011,2011,5,1,MT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105999.91,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/18/2011,2011,5,1,ST,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146246.56,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/19/2011,2011,5,2,CT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116630.57,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/19/2011,2011,5,2,MT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117309.31,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/19/2011,2011,5,2,ST,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155457.46,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/18/2011,2011,5,1,CT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520.04,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/18/2011,2011,5,1,MT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744.48,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/18/2011,2011,5,1,ST,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.773,29496.51,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,14594086.57,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/19/2011,2011,5,2,CT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385.16,23467,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,32505549.72,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/19/2011,2011,5,2,MT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351.44,19322.43,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,26113104.8,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/19/2011,2011,5,2,ST,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.86,18213.42,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6627135.001,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/28/2011,2011,6,1,CT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109255.42,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/28/2011,2011,6,1,MT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127556.83,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/28/2011,2011,6,1,ST,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146518.31,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/29/2011,2011,6,2,CT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102616.02,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/29/2011,2011,6,2,MT,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120835.56,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/29/2011,2011,6,2,ST,INF,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94782.17,GB,7 L Bucket,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/28/2011,2011,6,1,CT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997.38,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/28/2011,2011,6,1,MT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946.8,NA,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/28/2011,2011,6,1,ST,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1317.72,25450.34,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,33536422.03,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/29/2011,2011,6,2,CT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1216.56,16597.23,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,20191526.13,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/29/2011,2011,6,2,MT,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300.86,23694.1,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,30822706.93,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
8/29/2011,2011,6,2,ST,OUT,NA,NA,AC,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.3,13379.98,GBW,Transducer,Siphon,Weir,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4432787.374,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
5/15/2012,2012,1,1,CT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,NA,0.004,0.004,NA,8.27,NA,NA,0.02,NA,NA,NA,NA,NA,NA,478986.27,GB,7 L Bucket,Siphon,NA,#VALUE!,1915.945,1915.945,#VALUE!,3961216.473,#VALUE!,#VALUE!,9579.725,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)",
5/15/2012,2012,1,1,MT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,NA,0.004,0.004,NA,8.27,NA,NA,0.02,NA,NA,NA,NA,NA,NA,120478.09,GB,7 L Bucket,Siphon,NA,#VALUE!,481.912,481.912,#VALUE!,996353.785,#VALUE!,#VALUE!,2409.562,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)",
5/15/2012,2012,1,1,ST,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,NA,0.004,0.004,NA,8.27,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,GB,7 L Bucket,Siphon,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)",
5/16/2012,2012,1,2,CT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,NA,0.004,0.004,NA,8.27,NA,NA,0.02,NA,NA,NA,NA,NA,NA,442968.75,GB,7 L Bucket,Siphon,NA,#VALUE!,1771.875,1771.875,#VALUE!,3663351.563,#VALUE!,#VALUE!,8859.375,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)",
5/16/2012,2012,1,2,MT,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,NA,0.004,0.004,NA,8.27,NA,NA,0.02,NA,NA,NA,NA,NA,NA,136011.99,GB,7 L Bucket,Siphon,NA,#VALUE!,544.048,544.048,#VALUE!,1124819.19,#VALUE!,#VALUE!,2720.24,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)",
5/16/2012,2012,1,2,ST,INF,INF-01-GB,FALSE,FALSE,FALSE,NA,FALSE,NA,0.004,0.004,NA,8.27,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,GB,7 L Bucket,Siphon,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)",
5/15/2012,2012,1,1,CT,OUT,CT1-01-OT,NA,AC,FALSE,NA,TRUE,NA.IRR,0.089,0.086,NA.IRR,9.777,NA.IRR,NA.IRR,2.693,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,1216.56,0,GBW,Transducer,Siphon,7 V,#VALUE!,0,0,#VALUE!,0,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing)","CT1 LABELED NO RUNOFF IN OTHER MASTER SHEET, THESE VALUES ARE FROM ""1st irr. (before cultivate) CSU Lab runoff nutrients"". Flagged because samples were taken with a weer in the field, not representative of runoff. Og sample labels ""CT1 I1 T1, T2, T3"" The results are averages of the 3 samples taken at different times. Before cultivation. "
5/15/2012,2012,1,1,MT,OUT,MT1-01-OT,FALSE,AC,FALSE,NA,FALSE,0.06,0.212,0.2,NA,8.453,NA,NA,2.697,NA,NA,NA,NA,NA,356.7,NA,GBW,Transducer,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)","The results are averages of the 3 samples taken at different times. Before cultivation. OG Sample IDs "" MT1 I1, T1, T2, T3"""
5/15/2012,2012,1,1,ST,OUT,ST1-01-OT,NA,NA,FALSE,NA,TRUE,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,373.56,0,GBW,Transducer,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
5/16/2012,2012,1,2,CT,OUT,CT2-01-0T,NA,AC,FALSE,NA,TRUE,NA.IRR,0.188,0.182,NA.IRR,9.19,NA.IRR,NA.IRR,2.583,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,1638.06,0,GBW,Transducer,Siphon,7 V,#VALUE!,0,0,#VALUE!,0,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing)","CT2 LABELED NO RUNOFF IN OTHER MASTER SHEET, THESE VALUES ARE FROM ""1st irr. (before cultivate) CSU Lab runoff nutrients"". Flagged because samples were taken with a weer in the field, not representative of runoff. Og sample labels ""CT2 I1 T1, T2, T3"""
5/16/2012,2012,1,2,MT,OUT,MT2-01-OT,FALSE,AC,FALSE,NA,FALSE,0.14,0.194,0.189,NA,10.143,NA,NA,2.133,NA,NA,NA,NA,NA,272.4,NA,GBW,Transducer,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Nitrate results from ""Nitrates 1st irr. 2012"" (in-lab testing). Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)","The results are averages of the 3 samples taken at different times. Before cultivation. OG Sample IDs "" MT2 I1, T1, T2, T3"""
5/16/2012,2012,1,2,ST,OUT,ST2-01-OT,NA,NA,FALSE,NA,TRUE,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,348.27,0,GBW,Transducer,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/3/2012,2012,2,1,CT,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,U,0.001,0.001,NA,7.265,NA,NA,0.01,NA,NA,NA,NA,NA,NA,110088.74,GB,7 L Bucket,Siphon,NA,#VALUE!,110.089,110.089,#VALUE!,799794.676,#VALUE!,#VALUE!,1100.887,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/3/2012,2012,2,1,MT,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,U,0.001,0.001,NA,7.265,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,GB,7 L Bucket,Siphon,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/3/2012,2012,2,1,ST,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,U,0.001,0.001,NA,7.265,NA,NA,0.01,NA,NA,NA,NA,NA,NA,125120.25,GB,7 L Bucket,Siphon,NA,#VALUE!,125.12,125.12,#VALUE!,908998.604,#VALUE!,#VALUE!,1251.202,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/4/2012,2012,2,2,CT,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,U,0.001,0.001,NA,7.265,NA,NA,0.01,NA,NA,NA,NA,NA,NA,131764.71,GB,7 L Bucket,Siphon,NA,#VALUE!,131.765,131.765,#VALUE!,957270.588,#VALUE!,#VALUE!,1317.647,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/4/2012,2012,2,2,MT,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,U,0.001,0.001,NA,7.265,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,GB,7 L Bucket,Siphon,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/4/2012,2012,2,2,ST,INF,INF-02-GB,FALSE,AC,FALSE,NA,FALSE,U,0.001,0.001,NA,7.265,NA,NA,0.01,NA,NA,NA,NA,NA,NA,135075.38,GB,7 L Bucket,Siphon,NA,#VALUE!,135.075,135.075,#VALUE!,981322.613,#VALUE!,#VALUE!,1350.754,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/3/2012,2012,2,1,CT,OUT,CT1-02-OT,FALSE,AC,FALSE,NA,FALSE,0.195,1.81,0.033,NA,8.11,NA,NA,6.69,NA,NA,NA,NA,NA,NA ,7407,GBW,Ruler,Siphon,7 V,1444.365,13406.67,240.728,#VALUE!,60070.77,#VALUE!,#VALUE!,49552.83,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)","The results are averages of 2 samples taken at different times. Before cultivation. OG Sample IDs ""CT1 I2 T1, T2"". No TSS results in the ""2012 sediment load excel file"""
6/3/2012,2012,2,1,MT,OUT,MT1-02-OT,NA,NA,FALSE,NA,TRUE,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,272.4,0,GBW,Transducer,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/3/2012,2012,2,1,ST,OUT,ST1-02-OT,NA,NA,FALSE,NA,TRUE,NA.IRR,NA.IRR,NA.IRR,NA.IRR,8.2,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA,0,GBW,Transducer,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",". No TSS results in the ""2012 sediment load excel file"""
6/4/2012,2012,2,2,CT,OUT,CT2-02-OT,FALSE,AC,FALSE,NA,FALSE,0.027,3.87,0.126,NA,8.083,NA,NA,4.027,NA,NA,NA,NA,NA,NA,7951,GBW,Ruler,Siphon,7 V,212.027,30770.37,1001.826,#VALUE!,64270.583,#VALUE!,#VALUE!,32016.027,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Imhoff Cones,"CSU Soil, Water and Plant Testing Laboratory - NESB A319. Ortho P from ""Ortho P for all Irr. 2012 (in-lab testing)","The results are averages of the 3 samples taken at different times. Before cultivation. OG Sample IDs ""CT2 I2 T1, T2, T3"". No TSS results in the ""2012 sediment load excel file"""
6/4/2012,2012,2,2,MT,OUT,MT2-02-OT,NA,NA,FALSE,NA,TRUE,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,963.66,0,GBW,Transducer,Siphon,10 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",
6/4/2012,2012,2,2,ST,OUT,ST-02-OT,NA,NA,FALSE,NA,TRUE,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA.IRR,NA,0,GBW,Transducer,Siphon,7 V,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,"CSU Soil, Water and Plant Testing Laboratory - NESB A319",". No TSS results in the ""2012 sediment load excel file"""
